x,Curve1
-39.833,0.00011376
-39,0.00011004
-38,0.00010572
-37,0.00010156
-36,9.754e-05
-35,9.364e-05
-34,8.986e-05
-33,8.618e-05
-32,8.26e-05
-31,7.911e-05
-30,7.57e-05
-29,7.236e-05
-28,6.908e-05
-27,6.587e-05
-26,6.271e-05
-25,5.96e-05
-24,5.653e-05
-23,5.35e-05
-22,5.051e-05
-21,4.754e-05
-20,4.461e-05
-19,4.171e-05
-18,3.885e-05
-17,3.604e-05
-16,3.328e-05
-15,3.059e-05
-14,2.796e-05
-13,2.541e-05
-12,2.296e-05
-11,2.06e-05
-10,1.8353e-05
-9,1.6225e-05
-8,1.4228e-05
-7,1.2368e-05
-6,1.0648e-05
-5,9.072e-06
-4,7.641e-06
-3,6.353e-06
-2,5.206e-06
-1,4.197e-06
0,3.319e-06
1,2.567e-06
2,1.9326e-06
3,1.4101e-06
4,9.901e-07
5,6.623e-07
6,4.149e-07
7,2.357e-07
8,1.1307e-07
9,4.006e-08
10,9.381e-09
11,1.5373e-09
12,1.8118e-10
13,1.4958e-11
13.064,1.2659e-11
