x,Curve1,Curve2
-69.769,7.26E-05,7.17E-05
-69,7.07E-05,7.03E-05
-68,6.83E-05,6.78E-05
-67,6.60E-05,6.51E-05
-66,6.36E-05,6.24E-05
-65,6.13E-05,5.98E-05
-64,5.91E-05,5.73E-05
-63,5.68E-05,5.49E-05
-62,5.46E-05,5.25E-05
-61,5.23E-05,5.02E-05
-60,5.01E-05,4.80E-05
-59,4.80E-05,4.58E-05
-58,4.59E-05,4.37E-05
-57,4.38E-05,4.16E-05
-56,4.17E-05,3.96E-05
-55,3.97E-05,3.76E-05
-54,3.78E-05,3.57E-05
-53,3.58E-05,3.38E-05
-52,3.40E-05,3.19E-05
-51,3.22E-05,3.01E-05
-50,3.04E-05,2.83E-05
-49,2.87E-05,2.65E-05
-48,2.70E-05,2.49E-05
-47,2.54E-05,2.33E-05
-46,2.39E-05,2.17E-05
-45,2.24E-05,2.03E-05
-44,2.10E-05,1.89E-05
-43,1.96E-05,1.76E-05
-42,1.82E-05,1.64E-05
-41,1.70E-05,1.52E-05
-40,1.58E-05,1.41E-05
-39,1.47E-05,1.31E-05
-38,1.36E-05,1.21E-05
-37,1.26E-05,1.12E-05
-36,1.17E-05,1.03E-05
-35,1.08E-05,9.48E-06
-34,1.00E-05,8.70E-06
-33,9.26E-06,7.97E-06
-32,8.55E-06,7.29E-06
-31,7.88E-06,6.65E-06
-30,7.25E-06,6.05E-06
-29,6.66E-06,5.50E-06
-28,6.10E-06,4.99E-06
-27,5.57E-06,4.51E-06
-26,5.08E-06,4.07E-06
-25,4.62E-06,3.67E-06
-24,4.19E-06,3.30E-06
-23,3.80E-06,2.96E-06
-22,3.44E-06,2.64E-06
-21,3.10E-06,2.36E-06
-20,2.80E-06,2.10E-06
-19,2.52E-06,1.86E-06
-18,2.26E-06,1.64E-06
-17,2.01E-06,1.45E-06
-16,1.78E-06,1.27E-06
-15,1.57E-06,1.11E-06
-14,1.39E-06,9.64E-07
-13,1.21E-06,8.33E-07
-12,1.05E-06,7.15E-07
-11,9.03E-07,6.10E-07
-10,7.61E-07,5.16E-07
-9,6.28E-07,4.33E-07
-8,5.05E-07,3.59E-07
-7,3.98E-07,2.94E-07
-6,3.09E-07,2.37E-07
-5,2.38E-07,1.87E-07
-4,1.80E-07,1.45E-07
-3,1.34E-07,1.12E-07
-2,9.16E-08,8.67E-08
-1,5.29E-08,6.76E-08
0,5.37E-08,5.29E-08
0.121,5.43E-08,5.13E-08
